Style,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,PrimaryTemp
American Brown Ale,6.54,42.06,20.91,25.0,90,1.051,69.0,3.0,17.0
American Amber Ale,5.98,35.4,12.53,40.0,60,1.035,64.0,3.0,22.0
American Amber Ale,4.91,45.02,11.11,47.32,60,1.04,72.0,1.5,20.0
American Amber Ale,5.19,30.05,16.02,32.0,90,1.0390000000000001,70.0,4.0,19.0
American Brown Ale,7.07,35.16,22.88,24.61,60,1.055,77.0,1.5,18.33
American Brown Ale,5.57,37.77,22.89,26.5,60,1.044,70.0,1.4,18.33
American Amber Ale,4.78,49.2,13.96,30.0,60,1.03,70.0,3.1,18.0
American Stout,6.78,85.25,40.0,28.39,60,1.052,70.0,1.25,18.33
American Amber Ale,5.53,27.23,14.51,49.21,60,1.0490000000000002,80.0,1.27,19.44
American Brown Ale,12.76,77.33,32.22,28.39,60,1.099,70.0,1.5,18.89
American Amber Ale,5.36,35.15,12.68,19.0,60,1.042,72.0,4.1,19.0
American Stout,5.82,31.38,38.7,28.39,60,1.046,76.0,1.255,18.89
American Amber Ale,6.74,98.83,19.03,30.28,90,1.046,55.0,2.0,20.0
American Amber Ale,5.61,24.47,11.86,51.1,60,1.047,80.0,1.25,21.11
American Brown Ale,5.65,29.63,21.18,23.19,60,1.048,70.0,1.5,19.44
American Amber Ale,5.42,27.22,15.23,45.0,60,1.047,70.0,1.25,20.0
American Brown Ale,5.25,35.35,21.45,24.61,60,1.0490000000000002,75.0,1.25,20.56
American Stout,6.77,37.8,40.0,30.0,90,1.047,75.0,2.75,18.0
American Brown Ale,6.29,47.8,38.13,51.1,60,1.057,65.0,1.25,21.11
American Brown Ale,5.76,27.99,21.42,55.0,60,1.055,75.0,3.0,19.0
American Amber Ale,5.41,35.19,13.33,18.93,60,1.062,65.0,1.5,18.33
American Amber Ale,4.12,24.05,4.25,34.07,90,1.031,75.0,14.0,20.0
American Stout,6.69,35.1,38.92,28.39,60,1.046,60.0,1.25,21.11
American Amber Ale,5.7,39.75,16.49,49.21,60,1.051,70.0,1.5,19.44
American Amber Ale,5.66,36.63,10.54,24.61,60,1.043,70.0,1.25,18.33
American Brown Ale,5.49,35.97,18.63,32.18,60,1.038,65.0,1.3,20.0
American Stout,6.12,62.33,35.29,28.39,60,1.0390000000000001,70.0,1.25,20.0
American Amber Ale,5.02,43.94,13.51,36.0,90,1.0390000000000001,65.0,2.75,20.0
American Light Lager,4.17,10.32,2.37,28.39,60,1.03,78.0,1.15,12.78
American Stout,8.61,42.75,40.0,22.71,60,1.065,70.0,1.25,18.33
American Amber Ale,5.52,32.03,11.15,28.39,60,1.036,63.0,1.5,20.0
American Stout,7.21,70.42,47.17,49.21,90,1.068,80.0,1.25,18.33
American Amber Ale,4.39,25.6,17.62,28.39,90,1.034,71.0,1.5,18.33
American Light Lager,7.13,132.72,5.13,25.0,60,1.052,70.0,2.5,21.0
American Amber Ale,4.37,46.37,16.82,53.0,85,1.0290000000000001,65.0,1.35,20.0
American Amber Ale,4.57,33.76,12.31,26.5,60,1.034,65.0,1.5,19.44
American Light Lager,7.5,104.71,49.31,25.0,60,1.061,66.0,3.1,21.0
American Stout,8.61,44.67,40.02,28.39,60,1.0659999999999998,55.0,1.5,20.0
American Amber Ale,5.68,40.23,19.54,18.93,60,1.043,59.0,1.5,16.67
American Amber Ale,4.59,41.7,8.57,28.39,60,1.036,70.0,1.24,18.33
American Stout,5.55,55.51,37.29,18.93,60,1.034,75.0,1.25,20.0
American Brown Ale,7.35,28.96,26.14,30.28,90,1.051,78.0,1.5,22.22
American Stout,6.66,77.64,47.02,28.39,90,1.047,72.0,1.4,18.33
American Amber Ale,5.83,38.97,14.42,28.39,90,1.044,75.0,1.5,20.0
American Brown Ale,4.88,36.69,18.58,26.5,60,1.042,70.0,1.44,20.0
American Stout,6.38,64.73,7.43,28.39,60,1.054,75.0,1.25,18.89
American Brown Ale,6.04,40.98,24.06,49.21,60,1.051,75.0,1.25,16.67
American Amber Ale,6.13,94.94,17.69,18.93,60,1.045,75.0,1.3,18.89
American Brown Ale,5.71,24.39,16.99,28.39,60,1.041,75.0,1.5,18.89
American Stout,6.47,45.22,50.0,12.9,60,1.071,65.0,2.5,25.0
American Light Lager,3.0,16.38,12.94,22.0,60,1.0270000000000001,60.0,3.0,26.0
American Amber Ale,5.63,31.27,15.6,28.39,60,1.042,70.0,1.25,20.0
American Stout,13.12,153.54,50.0,22.71,60,1.109,70.0,1.5,20.0
American Brown Ale,5.73,36.45,22.67,28.39,60,1.042,70.0,1.5,21.11
American Stout,7.3,60.92,50.0,28.4,80,1.051,68.0,2.6,18.0
American Brown Ale,6.58,56.36,50.0,26.5,60,1.052,75.0,1.0,18.89
American Stout,5.17,29.38,37.66,28.39,60,1.048,70.0,1.3,18.89
American Amber Ale,5.16,29.03,13.11,24.61,60,1.048,85.0,1.5,17.78
American Amber Ale,5.98,32.96,8.85,55.0,60,1.055,73.0,4.202,20.0
American Stout,5.96,25.57,40.12,47.32,60,1.058,84.0,1.5,19.44
American Amber Ale,6.72,26.5,10.72,28.39,90,1.048,70.0,1.5,20.0
American Amber Ale,5.89,44.72,14.91,26.5,60,1.045,70.0,1.25,16.67
American Stout,3.92,30.84,41.0,26.5,60,1.032,55.0,1.5,20.56
American Amber Ale,6.75,62.75,16.58,18.0,60,1.056,75.0,4.0,19.0
American Stout,6.72,44.73,32.69,15.14,90,1.084,75.0,1.5,21.11
American Amber Ale,5.71,20.75,10.44,28.39,90,1.044,72.0,1.5,20.0
American Stout,10.57,57.57,35.98,28.39,60,1.0759999999999998,75.0,1.5,18.33
American Stout,12.05,110.22,50.0,28.39,90,1.0959999999999999,75.0,1.5,20.0
American Amber Ale,5.06,29.99,5.42,11.36,90,1.09,65.0,1.5,21.11
American Amber Ale,6.18,30.77,12.73,28.5,60,1.056,75.0,3.0,20.0
American Amber Ale,6.09,35.31,12.91,24.61,90,1.0490000000000002,73.0,1.33,20.0
American Light Lager,4.06,7.25,2.81,32.18,60,1.028,80.0,1.3,20.56
American Amber Ale,5.78,30.41,14.78,26.5,60,1.047,70.0,1.25,20.0
American Stout,7.88,49.46,50.0,31.23,60,1.08,65.0,1.25,18.33
American Brown Ale,5.95,31.28,21.37,29.0,60,1.048,70.0,2.0,20.0
American Amber Ale,7.22,75.99,15.48,30.28,90,1.062,65.0,1.3,19.44
American Amber Ale,5.02,29.03,15.78,45.42,90,1.041,70.0,1.5,20.0
American Amber Ale,5.24,31.27,10.57,135.0,75,1.0390000000000001,67.0,3.0,19.0
American Brown Ale,5.96,48.43,16.06,711.66,60,1.05,86.0,1.25,20.0
American Brown Ale,5.33,48.22,29.08,22.71,60,1.053,75.0,1.5,20.0
American Stout,7.08,75.4,36.28,57.0,60,1.063,55.0,3.0,20.0
American Brown Ale,4.59,37.57,34.25,26.5,60,1.035,74.0,1.75,18.33
American Light Lager,6.02,50.15,5.1,26.5,60,1.055,75.0,1.25,18.89
American Light Lager,6.72,23.07,20.17,27.06,60,1.061,75.0,3.0,23.0
American Stout,7.35,57.67,43.15,28.39,60,1.054,66.0,1.5,18.89
American Amber Ale,5.14,39.89,10.26,27.52,60,1.036,70.0,1.25,20.0
American Brown Ale,5.55,35.56,24.34,28.39,60,1.041,75.0,1.5,16.67
American Amber Ale,5.17,35.98,16.32,29.0,60,1.044,70.0,3.0,20.0
American Amber Ale,5.21,39.0,13.39,13.25,60,1.071,70.0,1.5,17.22
American Amber Ale,7.1,38.47,19.14,28.5,60,1.048,70.0,3.125,21.0
American Stout,6.6,38.68,37.97,28.39,60,1.045,70.0,1.5,20.0
American Brown Ale,6.87,43.52,29.25,28.39,60,1.054,70.0,1.5,18.33
American Brown Ale,5.64,1.72,19.93,24.61,60,1.05,78.0,1.3,20.0
American Stout,5.32,0.0,26.56,3.79,10,1.043,80.0,1.5,18.33
